Name,Grid Error,Surface Error,Importance Error
37284,0.052027607648447216,0.0035076109,0.00833440630122154
37285,0.07678975297383615,0.0022872787,0.009507903781833825
37286,0.11129755934788459,0.0024343277,0.013749707198239583
37287,0.09973036946829716,0.003163171,0.01340425671914202
37288,0.12378438436069877,0.0029154082,0.014938427811138431
37289,0.13267778151634807,0.005583,0.018100841316034146
37303,0.12245323013210026,0.0025433095,0.014239627489383306
37304,0.12089758124369061,0.0031936578,0.014851644061923444
37322,0.08307457680263597,0.0014058771,0.00958107818006992
37323,0.14385058528163272,0.0027121764,0.016667695368920578
37325,0.29021227862933,0.0041942545,0.033519445998873416
37326,0.1302339369343238,0.002353006,0.015653342508360514
37327,0.17527517126567815,0.003203743,0.02224921651572221
37328,0.0848868392631026,0.0030947248,0.012405634702236865
37329,0.1366488114831794,0.0035186587,0.018559496778108208
37330,0.14007495545469867,0.0027107145,0.018062610690819953
37331,0.1809795512883667,0.0026499406,0.021445270117514674
37332,0.09031095909587657,0.0035488494,0.013044251669060506
37335,0.13028137899352676,0.0026422723,0.015684093717190078
37358,0.04967756021357043,0.0034648294,0.009096109191221046
37361,0.05859386795547621,0.0027220852,0.009127512392987456
37365,0.06145637189978357,0.003318561,0.010421682194638427
37366,0.07396719971399704,0.0032852895,0.010682731845564149
37384,0.13913847804944493,0.0028796378,0.0164553002103081
