Name,Grid Error,Surface Error,Importance Error
37284,0.004917682425022438,0.0070556826,0.006873921887688415
37285,0.0075149599398038275,0.0073201037,0.007302306271146375
37286,0.00463499535698608,0.008990865,0.008874821089781156
37287,0.008089157171239857,0.011846054,0.011962976351584397
37288,0.0059542595528196945,0.013091349,0.012266341462226741
37289,0.005297422738710592,0.011859926,0.011385904717299852
37303,0.008865625793345683,0.008415087,0.00821514601972668
37304,0.006988868157475087,0.014404142,0.013719874247444006
37322,0.004418962232736376,0.004476431,0.004459950073754864
37323,0.004857453700566746,0.0051963665,0.005122208752244452
37325,0.008717158907318778,0.011763706,0.01216080408759864
37326,0.004682918050587413,0.009116013,0.008863574900636668
37327,0.005131090963044705,0.009497062,0.009933941481992975
37328,0.0058450454015852304,0.011762016,0.01146674586573329
37329,0.004992177307807113,0.011002406,0.01128237403534604
37330,0.004133429537359619,0.0059661316,0.0069387404123746
37331,0.006561135822230023,0.01381661,0.013540333154205665
37332,0.00922841947200042,0.013666386,0.013515519879775562
37335,0.007225366959894464,0.007114176,0.008327846367567442
37358,0.005245228923997801,0.009526848,0.009950856313396204
37361,0.006564152830083027,0.00998526,0.010246412043071355
37365,0.005797955644700231,0.011861377,0.011963943119108682
37366,0.005434736870818797,0.0124387415,0.012360949091072
37384,0.010438898660247085,0.010127388,0.010115839851425163
