Name,Grid Error,Surface Error,Importance Error
37093,0.007237588089179293,0.0026481443,0.0032646652219236677
37095,0.007572963459642826,0.0019472518,0.003075728489181183
37111,0.01300104794839607,0.0042554257,0.006793632327139604
37137,0.010945310069290413,0.0026427968,0.006069417249227609
37179,0.011939835630747323,0.0019639516,0.003706956659296954
37211,0.009666621152022797,0.0025453588,0.004885069518927324
37213,0.007053445228531282,0.0014641248,0.0026015376999995636
37215,0.008456905540460568,0.0029881308,0.004328443098790909
37217,0.008723429636837119,0.0033156753,0.004579517804304298
37219,0.010162147389148795,0.0018368114,0.003189497419517118
37221,0.009558491458890577,0.0028706717,0.004127613883147506
37223,0.008126105474153161,0.002777019,0.003926116831780616
37225,0.007325197125408381,0.0017047371,0.0028576666875399347
37227,0.010203993996020087,0.002151432,0.0036273576699834996
37229,0.008700595987601475,0.0025244951,0.003579620140933388
37266,0.011162000499927782,0.0023107184,0.005096655964082266
37267,0.010768975699718531,0.0028629154,0.0047179285276409775
37272,0.006222332965188103,0.0018388927,0.002627166307600041
37274,0.009158875203722765,0.0024776661,0.0033785515044316714
37275,0.008757606708903309,0.0034395687,0.004618640933100613
37276,0.0076589686427549165,0.0025523095,0.0032445230813976963
37278,0.009153253762166724,0.001441664,0.002763309844422578
37280,0.009245806700537014,0.0017171182,0.0030440311648769623
37282,0.009073307274116146,0.0032861286,0.004214241869848256
37283,0.007994433177375485,0.0015675136,0.0026741435635764723
