Name,Grid Error,Surface Error,Importance Error
37402,0.01122379622113275,0.014463103,0.013603751441400795
37404,0.00594609606630026,0.009831046,0.009371046822768384
37415,0.010417165314537898,0.019363275,0.01668785650916544
37416,0.01718315463601626,0.021224286,0.01931589922199523
37506,0.007426988184372201,0.010442077,0.010221616665169445
37568,0.014397487705974056,0.0104038175,0.010783932277968998
37569,0.008392561413599316,0.011307901,0.010949604160348922
37620,0.004997130770769133,0.004502094,0.004536157480785902
37621,0.006477078860386375,0.0053647994,0.005382460675223269
37622,0.002632412821231625,0.0052926266,0.005065407932242666
37627,0.005678459016192181,0.005364739,0.005370922160245596
37653,0.009790012265478258,0.015171586,0.014509792917993447
37730,0.006363163404021607,0.011799563,0.010379544799090487
37731,0.005385159809873261,0.0118764425,0.010501600464946744
37743,0.006595315525519356,0.0058249123,0.005986516075472576
37744,0.007596856834498972,0.0068163704,0.006484330240415783
37745,0.007351657252317758,0.008071158,0.007961937319798296
37746,0.006830438536273966,0.0058137067,0.005785044806549864
37747,0.007874549803770036,0.00622633,0.0064135036326639985
37748,0.0056113921667536835,0.011720914,0.010604102855136625
37749,0.0036060180829772825,0.009457741,0.008460667198211693
37750,0.00925692194268913,0.009864367,0.00988536357415973
37751,0.006936142738407879,0.010827328,0.010202384883556098
37765,0.011488104877661474,0.006207288,0.006706156701237112
37766,0.009379662716147933,0.008377822,0.008165562021371519
